Name,Joined,Location,Market,Website,Employees,Stage,Total Raised
Seed,Aug '14,San Francisco,Financial Services,https://seed.co/,11-50,,5000000.0
RedCarpet.CASH,Jan '14,,Consumer Lending,http://redcarpetup.com,51-200,Seed,120000.0
Branch,Aug '15,Minneapolis,Mobile Payments,http://www.branchapp.com,51-200,Series A,10000000.0
CoinJar,Apr '13,Melbourne,Banking,https://www.coinjar.com,11-50,Seed,1090000.0
Finrise (Acquired by Wag!),Feb '16,Burlingame,Credit,https://finrise.com,11-50,Seed,5400000.0
Inkshares,Aug '13,Oakland,Film,https://www.inkshares.com,1-10,Seed,1185000.0
Oddup,Sep '14,Hong Kong,Startups,http://www.oddup.com,11-50,Seed,7125000.0
Kin Insurance,Jan '17,Tampa,Insurance,https://www.kin.com/,51-200,Seed,63964957.0
Avaamo,May '14,Los Altos,Banking,http://www.avaamo.com,51-200,Series A,20500000.0
Fig,Aug '15,San Francisco,Mobile Games,http://Fig.co,1-10,Series A,7840000.0
Cleo,Nov '15,London,Personal Finance,https://www.meetcleo.com,51-200,Series A,13200000.0
Allovue,Jun '13,Baltimore,Finance Technology,http://allovue.com,1-10,Seed,800000.0
Communities for Cause,Apr '12,Tustin,Loyalty Programs,http://www.mycfc.com/,1-10,,797000.0
Theorem LP,Dec '16,San Francisco,Software Engineering,http://www.theoremlp.com,11-50,Seed,2500000.0
CircleBack Lending,Feb '13,Boca Raton,Investment Management,http://www.circlebacklending.com,11-50,Seed,4650000.0
FinMkt,Jun '13,New York City,P2P Money Transfer,http://www.finmkt.io,11-50,,1900000.0
37coins,Feb '14,Sunnyvale,Banking,https://www.37coins.com,1-10,Seed,25000.0
ShoCard,Feb '15,Cupertino,Mobile Commerce,http://www.shocard.com,11-50,Seed,1500000.0
Tripleshot,Jun '14,Boston,Stock Exchanges,http://www.tripleshot.com,1-10,Seed,5000000.0
Wyre,Jun '13,Miami,Finance Technology,https://www.sendwyre.com,11-50,Series A,8610000.0
Guevara,Jul '14,London,Insurance Companies,http://heyguevara.com,,Seed,400000.0
MarkITx,Sep '11,Chicago,Financial Exchanges,http://www.markitx.com,11-50,Series A,5610000.0
HealthRally,Jan '11,San Francisco,Crowdfunding,http://www.healthrally.com,,,400000.0
Socotra,Jan '15,San Francisco,Insurance,https://www.socotra.com,11-50,Seed,27865000.0
Lendstar,May '13,Munich,Mobile Payments,http://www.lendstar.io,1-10,Seed,672658.0
Open Collective,Sep '15,San Francisco,Open Source,https://OpenCollective.com,1-10,,2000000.0
Hijro,May '15,Lexington,Finance Technology,http://hijro.com,11-50,,2525000.0
Lottery.com (AutoLotto),Jul '15,Austin,Lotteries,https://lottery.com,11-50,Seed,19400000.0
LX Ventures,Dec '12,Vancouver,Technology,http://www.lxventures.com,1-10,Seed,2200000.0
Intiza,Aug '11,Buenos Aires Province,Small and Medium Businesses,http://www.intiza.com,1-10,Seed,500000.0
Swarm,Sep '14,Palo Alto,Legal,http://www.swarm.fund,1-10,Seed,1000000.0
Even Financial,Feb '15,New York City,Finance Technology,http://www.evenfinancial.com,51-200,Series A,25000000.0
bridge21,Jul '15,Boulder,Financial Technology,https://bridge21.io,1-10,Seed,490000.0
Givesurance ,Jul '14,San Francisco,Insurance,http://www.givesurance.org,1-10,Seed,
Cashforce,Jul '15,New York City,Finance Technology,http://www.cashforce.com,11-50,Series A,3570270.0
Strategic Blue,Nov '12,London,Finance Technology,http://www.strategic-blue.com,11-50,Seed,3091931.0
